ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,R,G,B,SchemeType
RdPu,8,seq,,1,A,255,247,243,
,,,,2,C,253,224,221,
,,,,3,D,252,197,192,
,,,,4,F,250,159,181,
,,,,5,G,247,104,161,
,,,,6,H,221,52,151,
,,,,7,J,174,1,126,
,,,,8,L,122,1,119,
RdPu,9,seq,,1,A,255,247,243,
,,,,2,C,253,224,221,
,,,,3,D,252,197,192,
,,,,4,F,250,159,181,
,,,,5,G,247,104,161,
,,,,6,H,221,52,151,
,,,,7,J,174,1,126,
,,,,8,K,122,1,119,
,,,,9,M,73,0,106,
Reds,3,seq,,1,C,254,224,210,Sequential
,,,,2,F,252,146,114,
,,,,3,I,222,45,38,
Reds,4,seq,,1,B,254,229,217,
,,,,2,E,252,174,145,
,,,,3,G,251,106,74,
,,,,4,J,203,24,29,
Reds,5,seq,,1,B,254,229,217,
,,,,2,E,252,174,145,
,,,,3,G,251,106,74,
,,,,4,I,222,45,38,
,,,,5,K,165,15,21,
Reds,6,seq,,1,B,254,229,217,
,,,,2,D,252,187,161,
,,,,3,F,252,146,114,
,,,,4,G,251,106,74,
,,,,5,I,222,45,38,
,,,,6,K,165,15,21,
Reds,7,seq,,1,B,254,229,217,
,,,,2,D,252,187,161,
,,,,3,F,252,146,114,
,,,,4,G,251,106,74,
,,,,5,H,239,59,44,
,,,,6,J,203,24,29,
,,,,7,L,153,0,13,
Reds,8,seq,,1,A,255,245,240,
,,,,2,C,254,224,210,
,,,,3,D,252,187,161,
,,,,4,F,252,146,114,
,,,,5,G,251,106,74,
,,,,6,H,239,59,44,
,,,,7,J,203,24,29,
,,,,8,L,153,0,13,
Reds,9,seq,,1,A,255,245,240,
,,,,2,C,254,224,210,
,,,,3,D,252,187,161,
,,,,4,F,252,146,114,
,,,,5,G,251,106,74,
,,,,6,H,239,59,44,
,,,,7,J,203,24,29,
,,,,8,K,165,15,21,
,,,,9,M,103,0,13,
RdYlBu,3,div,2,1,E,252,141,89,Diverging
,,,,2,H,255,255,191,
,,,,3,K,145,191,219,
RdYlBu,4,div,2.5,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,J,171,217,233,
,,,,4,M,44,123,182,
RdYlBu,5,div,3,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,H,255,255,191,
,,,,4,J,171,217,233,
,,,,5,M,44,123,182,
RdYlBu,6,div,3.5,1,B,215,48,39,
,,,,2,E,252,141,89,
,,,,3,G,254,224,144,
,,,,4,I,224,243,248,
,,,,5,K,145,191,219,
,,,,6,N,69,117,180,
RdYlBu,7,div,4,1,B,215,48,39,
,,,,2,E,252,141,89,
,,,,3,G,254,224,144,
,,,,4,H,255,255,191,
,,,,5,I,224,243,248,
,,,,6,K,145,191,219,
,,,,7,N,69,117,180,
RdYlBu,8,div,4.5,1,B,215,48,39,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,144,
,,,,5,I,224,243,248,
,,,,6,J,171,217,233,
,,,,7,L,116,173,209,
,,,,8,N,69,117,180,
RdYlBu,9,div,5,1,B,215,48,39,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,144,
,,,,5,H,255,255,191,
,,,,6,I,224,243,248,
,,,,7,J,171,217,233,
,,,,8,L,116,173,209,
,,,,9,N,69,117,180,
RdYlBu,10,div,5.5,1,A,165,0,38,
,,,,2,B,215,48,39,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,144,
,,,,6,I,224,243,248,
,,,,7,J,171,217,233,
,,,,8,L,116,173,209,
,,,,9,N,69,117,180,
,,,,10,O,49,54,149,
RdYlBu,11,div,6,1,A,165,0,38,
,,,,2,B,215,48,39,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,144,
,,,,6,H,255,255,191,
,,,,7,I,224,243,248,
,,,,8,J,171,217,233,
,,,,9,L,116,173,209,
,,,,10,N,69,117,180,
,,,,11,O,49,54,149,
RdYlGn,3,div,2,1,E,252,141,89,Diverging
,,,,2,H,255,255,191,
,,,,3,K,145,207,96,
RdYlGn,4,div,2.5,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,J,166,217,106,
,,,,4,M,26,150,65,
RdYlGn,5,div,3,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,H,255,255,191,
,,,,4,J,166,217,106,
,,,,5,M,26,150,65,
RdYlGn,6,div,3.5,1,B,215,48,39,
,,,,2,E,252,141,89,
,,,,3,G,254,224,139,
,,,,4,I,217,239,139,
,,,,5,K,145,207,96,
,,,,6,N,26,152,80,
RdYlGn,7,div,4,1,B,215,48,39,
,,,,2,E,252,141,89,
,,,,3,G,254,224,139,
,,,,4,H,255,255,191,
,,,,5,I,217,239,139,
,,,,6,K,145,207,96,
,,,,7,N,26,152,80,
RdYlGn,8,div,4.5,1,B,215,48,39,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,139,
,,,,5,I,217,239,139,
,,,,6,J,166,217,106,
,,,,7,L,102,189,99,
,,,,8,N,26,152,80,
RdYlGn,9,div,5,1,B,215,48,39,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,139,
,,,,5,H,255,255,191,
,,,,6,I,217,239,139,
,,,,7,J,166,217,106,
,,,,8,L,102,189,99,
,,,,9,N,26,152,80,
RdYlGn,10,div,5.5,1,A,165,0,38,
,,,,2,B,215,48,39,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,139,
,,,,6,I,217,239,139,
,,,,7,J,166,217,106,
,,,,8,L,102,189,99,
,,,,9,N,26,152,80,
,,,,10,O,0,104,55,
RdYlGn,11,div,6,1,A,165,0,38,
,,,,2,B,215,48,39,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,139,
,,,,6,H,255,255,191,
,,,,7,I,217,239,139,
,,,,8,J,166,217,106,
,,,,9,L,102,189,99,
,,,,10,N,26,152,80,
,,,,11,O,0,104,55,
Set1,3,qual,,1,A,228,26,28,Qualitative
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
Set1,4,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
Set1,5,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
,,,,5,E,255,127,0,
Set1,6,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
,,,,5,E,255,127,0,
,,,,6,F,255,255,51,
Set1,7,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
,,,,5,E,255,127,0,
,,,,6,F,255,255,51,
,,,,7,G,166,86,40,
Set1,8,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
,,,,5,E,255,127,0,
,,,,6,F,255,255,51,
,,,,7,G,166,86,40,
,,,,8,H,247,129,191,
Set1,9,qual,,1,A,228,26,28,
,,,,2,B,55,126,184,
,,,,3,C,77,175,74,
,,,,4,D,152,78,163,
,,,,5,E,255,127,0,
,,,,6,F,255,255,51,
,,,,7,G,166,86,40,
,,,,8,H,247,129,191,
,,,,9,I,153,153,153,
Set2,3,qual,,1,A,102,194,165,Qualitative
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
Set2,4,qual,,1,A,102,194,165,
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
,,,,4,D,231,138,195,
Set2,5,qual,,1,A,102,194,165,
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
,,,,4,D,231,138,195,
,,,,5,E,166,216,84,
Set2,6,qual,,1,A,102,194,165,
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
,,,,4,D,231,138,195,
,,,,5,E,166,216,84,
,,,,6,F,255,217,47,
Set2,7,qual,,1,A,102,194,165,
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
,,,,4,D,231,138,195,
,,,,5,E,166,216,84,
,,,,6,F,255,217,47,
,,,,7,G,229,196,148,
Set2,8,qual,,1,A,102,194,165,
,,,,2,B,252,141,98,
,,,,3,C,141,160,203,
,,,,4,D,231,138,195,
,,,,5,E,166,216,84,
,,,,6,F,255,217,47,
,,,,7,G,229,196,148,
,,,,8,H,179,179,179,
Set3,3,qual,,1,A,141,211,199,Qualitative
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
Set3,4,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
Set3,5,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
Set3,6,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
Set3,7,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
Set3,8,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
,,,,8,H,252,205,229,
Set3,9,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
,,,,8,H,252,205,229,
,,,,9,I,217,217,217,
Set3,10,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
,,,,8,H,252,205,229,
,,,,9,I,217,217,217,
,,,,10,J,188,128,189,
Set3,11,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
,,,,8,H,252,205,229,
,,,,9,I,217,217,217,
,,,,10,J,188,128,189,
,,,,11,K,204,235,197,
Set3,12,qual,,1,A,141,211,199,
,,,,2,B,255,255,179,
,,,,3,C,190,186,218,
,,,,4,D,251,128,114,
,,,,5,E,128,177,211,
,,,,6,F,253,180,98,
,,,,7,G,179,222,105,
,,,,8,H,252,205,229,
,,,,9,I,217,217,217,
,,,,10,J,188,128,189,
,,,,11,K,204,235,197,
,,,,12,L,255,237,111,
Spectral,3,div,2,1,E,252,141,89,Diverging
,,,,2,H,255,255,191,
,,,,3,K,153,213,148,
Spectral,4,div,2.5,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,J,171,221,164,
,,,,4,M,43,131,186,
Spectral,5,div,3,1,C,215,25,28,
,,,,2,F,253,174,97,
,,,,3,H,255,255,191,
,,,,4,J,171,221,164,
,,,,5,M,43,131,186,
Spectral,6,div,3.5,1,B,213,62,79,
,,,,2,E,252,141,89,
,,,,3,G,254,224,139,
,,,,4,I,230,245,152,
,,,,5,K,153,213,148,
,,,,6,N,50,136,189,
Spectral,7,div,4,1,B,213,62,79,
,,,,2,E,252,141,89,
,,,,3,G,254,224,139,
,,,,4,H,255,255,191,
,,,,5,I,230,245,152,
,,,,6,K,153,213,148,
,,,,7,N,50,136,189,
Spectral,8,div,4.5,1,B,213,62,79,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,139,
,,,,5,I,230,245,152,
,,,,6,J,171,221,164,
,,,,7,L,102,194,165,
,,,,8,N,50,136,189,
Spectral,9,div,5,1,B,213,62,79,
,,,,2,D,244,109,67,
,,,,3,F,253,174,97,
,,,,4,G,254,224,139,
,,,,5,H,255,255,191,
,,,,6,I,230,245,152,
,,,,7,J,171,221,164,
,,,,8,L,102,194,165,
,,,,9,N,50,136,189,
Spectral,10,div,5.5,1,A,158,1,66,
,,,,2,B,213,62,79,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,139,
,,,,6,I,230,245,152,
,,,,7,J,171,221,164,
,,,,8,L,102,194,165,
,,,,9,N,50,136,189,
,,,,10,O,94,79,162,
Spectral,11,div,6,1,A,158,1,66,
,,,,2,B,213,62,79,
,,,,3,D,244,109,67,
,,,,4,F,253,174,97,
,,,,5,G,254,224,139,
,,,,6,H,255,255,191,
,,,,7,I,230,245,152,
,,,,8,J,171,221,164,
,,,,9,L,102,194,165,
,,,,10,N,50,136,189,
,,,,11,O,94,79,162,
YlGn,3,seq,,1,C,247,252,185,Sequential
,,,,2,F,173,221,142,
,,,,3,I,49,163,84,
YlGn,4,seq,,1,B,255,255,204,
,,,,2,E,194,230,153,
,,,,3,G,120,198,121,
,,,,4,J,35,132,67,
YlGn,5,seq,,1,B,255,255,204,
,,,,2,E,194,230,153,
,,,,3,G,120,198,121,
,,,,4,I,49,163,84,
,,,,5,K,0,104,55,
YlGn,6,seq,,1,B,255,255,204,
,,,,2,D,217,240,163,
,,,,3,F,173,221,142,
,,,,4,G,120,198,121,
,,,,5,I,49,163,84,
,,,,6,K,0,104,55,
YlGn,7,seq,,1,B,255,255,204,
,,,,2,D,217,240,163,
,,,,3,F,173,221,142,
,,,,4,G,120,198,121,
,,,,5,H,65,171,93,
,,,,6,J,35,132,67,
,,,,7,L,0,90,50,
YlGn,8,seq,,1,A,255,255,229,
,,,,2,C,247,252,185,
,,,,3,D,217,240,163,
,,,,4,F,173,221,142,
,,,,5,G,120,198,121,
,,,,6,H,65,171,93,
,,,,7,J,35,132,67,
,,,,8,L,0,90,50,
YlGn,9,seq,,1,A,255,255,229,
,,,,2,C,247,252,185,
,,,,3,D,217,240,163,
,,,,4,F,173,221,142,
,,,,5,G,120,198,121,
,,,,6,H,65,171,93,
,,,,7,J,35,132,67,
,,,,8,K,0,104,55,
,,,,9,M,0,69,41,
YlGnBu,3,seq,,1,C,237,248,177,Sequential
,,,,2,F,127,205,187,
,,,,3,I,44,127,184,
YlGnBu,4,seq,,1,B,255,255,204,
,,,,2,E,161,218,180,
,,,,3,G,65,182,196,
,,,,4,J,34,94,168,
YlGnBu,5,seq,,1,B,255,255,204,
,,,,2,E,161,218,180,
,,,,3,G,65,182,196,
,,,,4,I,44,127,184,
,,,,5,K,37,52,148,
YlGnBu,6,seq,,1,B,255,255,204,
,,,,2,D,199,233,180,
,,,,3,F,127,205,187,
,,,,4,G,65,182,196,
,,,,5,I,44,127,184,
,,,,6,K,37,52,148,
YlGnBu,7,seq,,1,B,255,255,204,
,,,,2,D,199,233,180,
,,,,3,F,127,205,187,
,,,,4,G,65,182,196,
,,,,5,H,29,145,192,
,,,,6,J,34,94,168,
,,,,7,L,12,44,132,
YlGnBu,8,seq,,1,A,255,255,217,
,,,,2,C,237,248,177,
,,,,3,D,199,233,180,
,,,,4,F,127,205,187,
,,,,5,G,65,182,196,
,,,,6,H,29,145,192,
,,,,7,J,34,94,168,
,,,,8,L,12,44,132,
YlGnBu,9,seq,,1,A,255,255,217,
,,,,2,C,237,248,177,
,,,,3,D,199,233,180,
,,,,4,F,127,205,187,
,,,,5,G,65,182,196,
,,,,6,H,29,145,192,
,,,,7,J,34,94,168,
,,,,8,K,37,52,148,
,,,,9,M,8,29,88,
YlOrBr,3,seq,,1,C,255,247,188,Sequential
,,,,2,F,254,196,79,
,,,,3,I,217,95,14,
YlOrBr,4,seq,,1,B,255,255,212,
,,,,2,E,254,217,142,
,,,,3,G,254,153,41,
,,,,4,J,204,76,2,
YlOrBr,5,seq,,1,B,255,255,212,
,,,,2,E,254,217,142,
,,,,3,G,254,153,41,
,,,,4,I,217,95,14,
,,,,5,K,153,52,4,
YlOrBr,6,seq,,1,B,255,255,212,
,,,,2,D,254,227,145,
,,,,3,F,254,196,79,
,,,,4,G,254,153,41,
,,,,5,I,217,95,14,
,,,,6,K,153,52,4,
YlOrBr,7,seq,,1,B,255,255,212,
,,,,2,D,254,227,145,
,,,,3,F,254,196,79,
,,,,4,G,254,153,41,
,,,,5,H,236,112,20,
,,,,6,J,204,76,2,
,,,,7,L,140,45,4,
YlOrBr,8,seq,,1,A,255,255,229,
,,,,2,C,255,247,188,
,,,,3,D,254,227,145,
,,,,4,F,254,196,79,
,,,,5,G,254,153,41,
,,,,6,H,236,112,20,
,,,,7,J,204,76,2,
,,,,8,L,140,45,4,
YlOrBr,9,seq,,1,A,255,255,229,
,,,,2,C,255,247,188,
,,,,3,D,254,227,145,
,,,,4,F,254,196,79,
,,,,5,G,254,153,41,
,,,,6,H,236,112,20,
,,,,7,J,204,76,2,
,,,,8,K,153,52,4,
,,,,9,M,102,37,6,
YlOrRd,3,seq,,1,C,255,237,160,Sequential
,,,,2,F,254,178,76,
,,,,3,I,240,59,32,
YlOrRd,4,seq,,1,B,255,255,178,
,,,,2,E,254,204,92,
,,,,3,G,253,141,60,
,,,,4,J,227,26,28,
YlOrRd,5,seq,,1,B,255,255,178,
,,,,2,E,254,204,92,
,,,,3,G,253,141,60,
,,,,4,I,240,59,32,
,,,,5,K,189,0,38,
YlOrRd,6,seq,,1,B,255,255,178,
,,,,2,D,254,217,118,
,,,,3,F,254,178,76,
,,,,4,G,253,141,60,
,,,,5,I,240,59,32,
,,,,6,K,189,0,38,
YlOrRd,7,seq,,1,B,255,255,178,
,,,,2,D,254,217,118,
,,,,3,F,254,178,76,
,,,,4,G,253,141,60,
,,,,5,H,252,78,42,
,,,,6,J,227,26,28,
,,,,7,L,177,0,38,
YlOrRd,8,seq,,1,A,255,255,204,
,,,,2,C,255,237,160,
,,,,3,D,254,217,118,
,,,,4,F,254,178,76,
,,,,5,G,253,141,60,
,,,,6,H,252,78,42,
,,,,7,J,227,26,28,
,,,,8,L,177,0,38,
YlOrRd,9,seq,,1,A,255,255,204,
,,,,2,C,255,237,160,
,,,,3,D,254,217,118,
,,,,4,F,254,178,76,
,,,,5,G,253,141,60,
,,,,6,H,252,78,42,
,,,,7,J,227,26,28,
,,,,8,K,189,0,38,
,,,,9,M,128,0,38,
